samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
1108,0,78.75,-71.25,-86.25,-71.25,-90,-75,-33.75,-38.75
1109,-26.25,71.25,-75,-90,-75,-93.75,-82.5,-37.5,-45.416666666666664
1110,11.25,116.25,-60,-82.5,-67.5,-90,-75,-26.25,-30.416666666666668
1111,26.25,116.25,-60,-86.25,-71.25,-97.5,-82.5,-37.5,-32.5
1112,15,101.25,-67.5,-97.5,-82.5,-108.75,-97.5,-48.75,-42.916666666666664
1113,26.25,112.5,-63.75,-101.25,-86.25,-108.75,-97.5,-48.75,-40.833333333333336
1114,41.25,112.5,-63.75,-97.5,-82.5,-112.5,-101.25,-48.75,-39.166666666666664
1115,22.5,86.25,-63.75,-101.25,-90,-116.25,-108.75,-56.25,-47.5
1116,11.25,71.25,-67.5,-116.25,-101.25,-123.75,-112.5,-60,-55.416666666666664
1117,15,75,-56.25,-108.75,-93.75,-112.5,-101.25,-52.5,-48.333333333333336
1118,30,97.5,-37.5,-86.25,-67.5,-93.75,-82.5,-30,-30.0
1119,26.25,112.5,-22.5,-75,-60,-86.25,-71.25,-26.25,-22.5
1120,-3.75,97.5,-33.75,-86.25,-75,-97.5,-86.25,-45,-36.666666666666664
1121,-7.5,90,-41.25,-90,-78.75,-105,-93.75,-52.5,-42.083333333333336
1122,-11.25,86.25,-45,-86.25,-78.75,-108.75,-97.5,-52.5,-43.75
1123,-15,78.75,-48.75,-97.5,-90,-120,-108.75,-63.75,-51.666666666666664
1124,-22.5,71.25,-52.5,-105,-97.5,-127.5,-116.25,-67.5,-57.5
1125,-30,56.25,-60,-116.25,-108.75,-135,-123.75,-75,-65.83333333333333
1126,-26.25,52.5,-56.25,-116.25,-105,-135,-120,-71.25,-64.16666666666667
1127,-7.5,63.75,-48.75,-105,-97.5,-123.75,-112.5,-67.5,-55.416666666666664
1128,-3.75,67.5,-45,-105,-97.5,-123.75,-112.5,-67.5,-54.166666666666664
1129,-41.25,48.75,-45,-108.75,-97.5,-123.75,-112.5,-67.5,-60.833333333333336
1130,-71.25,18.75,-56.25,-123.75,-112.5,-138.75,-131.25,-82.5,-77.5
1131,-45,26.25,-60,-131.25,-120,-146.25,-135,-93.75,-78.33333333333333
1132,-33.75,45,-52.5,-116.25,-108.75,-135,-123.75,-82.5,-67.5
1133,-60,48.75,-45,-101.25,-93.75,-123.75,-112.5,-67.5,-61.666666666666664
1134,-63.75,63.75,-33.75,-90,-82.5,-116.25,-105,-56.25,-53.75
1135,-41.25,56.25,-52.5,-108.75,-101.25,-131.25,-120,-71.25,-63.333333333333336
1136,-30,26.25,-75,-131.25,-123.75,-150,-138.75,-93.75,-79.58333333333333
1137,-33.75,22.5,-75,-131.25,-123.75,-150,-138.75,-93.75,-80.41666666666667
1138,-30,45,-60,-120,-112.5,-138.75,-127.5,-82.5,-69.58333333333333
1139,-22.5,60,-52.5,-112.5,-105,-127.5,-120,-75,-61.666666666666664
1140,-7.5,71.25,-48.75,-112.5,-101.25,-127.5,-120,-75,-57.916666666666664
1141,-22.5,52.5,-52.5,-123.75,-112.5,-138.75,-127.5,-86.25,-67.91666666666667
1142,-56.25,22.5,-56.25,-123.75,-116.25,-142.5,-135,-86.25,-77.08333333333333
1143,-41.25,30,-52.5,-120,-108.75,-142.5,-131.25,-82.5,-72.08333333333333
1144,-33.75,41.25,-45,-112.5,-101.25,-138.75,-127.5,-75,-65.83333333333333
1145,-71.25,30,-41.25,-108.75,-101.25,-131.25,-120,-71.25,-68.33333333333333
1146,-78.75,26.25,-45,-108.75,-105,-135,-123.75,-75,-71.66666666666667
1147,-45,41.25,-52.5,-108.75,-101.25,-135,-123.75,-78.75,-67.08333333333333
1148,-15,63.75,-48.75,-108.75,-101.25,-127.5,-120,-75,-59.166666666666664
1149,-37.5,52.5,-52.5,-112.5,-105,-131.25,-123.75,-78.75,-65.41666666666667
1150,-60,41.25,-56.25,-116.25,-105,-131.25,-127.5,-82.5,-70.83333333333333
1151,-37.5,56.25,-48.75,-108.75,-97.5,-127.5,-116.25,-71.25,-61.25
1152,-37.5,33.75,-45,-112.5,-105,-131.25,-123.75,-82.5,-67.08333333333333
1153,-60,-7.5,-45,-116.25,-112.5,-146.25,-138.75,-101.25,-80.83333333333333
1154,-67.5,-26.25,-30,-101.25,-116.25,-157.5,-157.5,-116.25,-85.83333333333333
1155,-86.25,-41.25,7.5,-63.75,-105,-165,-172.5,-138.75,-85.0
1156,-93.75,-45,60,-15,-90,-172.5,-187.5,-161.25,-78.33333333333333
1157,-71.25,-37.5,120,37.5,-78.75,-180,-202.5,-176.25,-65.41666666666667
