samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
147,-543.75,-86.25,157.5,180,202.5,86.25,176.25,213.75,42.916666666666664
148,-525,-86.25,153.75,180,198.75,82.5,172.5,210,42.916666666666664
149,-502.5,-86.25,150,172.5,191.25,71.25,165,202.5,40.416666666666664
150,-498.75,-86.25,150,168.75,187.5,67.5,161.25,198.75,38.75
151,-506.25,-86.25,146.25,161.25,180,63.75,153.75,191.25,33.75
152,-521.25,-71.25,150,161.25,180,60,150,191.25,33.333333333333336
153,-543.75,-63.75,161.25,172.5,187.5,71.25,161.25,198.75,38.333333333333336
154,-551.25,-71.25,172.5,183.75,195,75,165,202.5,41.25
155,-540,-78.75,180,183.75,191.25,71.25,161.25,198.75,40.833333333333336
156,-536.25,-75,165,183.75,187.5,63.75,153.75,191.25,37.083333333333336
157,-536.25,-60,161.25,191.25,195,67.5,157.5,195,41.25
158,-536.25,-52.5,180,198.75,202.5,78.75,168.75,202.5,49.166666666666664
159,-528.75,-52.5,183.75,202.5,210,86.25,172.5,206.25,53.333333333333336
160,-540,-71.25,183.75,206.25,206.25,82.5,165,202.5,48.333333333333336
161,-547.5,-90,176.25,191.25,191.25,67.5,150,187.5,36.25
162,-543.75,-101.25,176.25,191.25,195,63.75,146.25,180,34.166666666666664
163,-547.5,-108.75,183.75,198.75,206.25,71.25,150,180,37.083333333333336
164,-555,-112.5,198.75,210,210,78.75,157.5,180,40.833333333333336
165,-585,-123.75,210,221.25,221.25,90,168.75,187.5,43.333333333333336
166,-588.75,-116.25,213.75,221.25,221.25,86.25,161.25,183.75,42.5
167,-562.5,-101.25,213.75,225,225,82.5,153.75,172.5,45.416666666666664
168,-558.75,-82.5,217.5,236.25,236.25,90,157.5,176.25,52.5
169,-581.25,-78.75,225,236.25,240,90,161.25,180,52.5
170,-603.75,-112.5,217.5,228.75,228.75,86.25,153.75,172.5,41.25
171,-630,-142.5,210,225,228.75,82.5,146.25,165,31.666666666666668
172,-618.75,-131.25,213.75,225,236.25,86.25,146.25,165,35.833333333333336
173,-577.5,-116.25,217.5,221.25,232.5,82.5,142.5,157.5,40.0
174,-588.75,-131.25,217.5,221.25,225,82.5,142.5,153.75,35.833333333333336
175,-626.25,-150,221.25,217.5,217.5,78.75,138.75,150,27.5
176,-637.5,-157.5,217.5,213.75,221.25,71.25,135,142.5,22.916666666666668
177,-637.5,-157.5,221.25,221.25,232.5,75,131.25,138.75,25.0
178,-656.25,-157.5,236.25,228.75,240,82.5,138.75,146.25,28.75
179,-667.5,-153.75,236.25,232.5,240,82.5,142.5,142.5,28.333333333333332
180,-630,-123.75,232.5,236.25,240,78.75,135,138.75,34.166666666666664
181,-603.75,-101.25,228.75,236.25,236.25,75,131.25,138.75,37.916666666666664
182,-615,-127.5,225,221.25,228.75,67.5,123.75,131.25,28.333333333333332
183,-648.75,-157.5,217.5,210,221.25,63.75,120,123.75,16.666666666666668
184,-705,-161.25,240,228.75,236.25,78.75,135,142.5,21.666666666666668
185,-712.5,-165,243.75,225,228.75,75,131.25,138.75,18.333333333333332
186,-660,-176.25,225,202.5,210,56.25,112.5,116.25,9.583333333333334
187,-641.25,-180,217.5,195,213.75,56.25,108.75,112.5,9.166666666666666
188,-663.75,-191.25,221.25,195,213.75,56.25,108.75,112.5,5.833333333333333
189,-686.25,-191.25,228.75,202.5,217.5,60,112.5,112.5,6.25
190,-663.75,-157.5,236.25,210,228.75,67.5,120,120,17.916666666666668
191,-652.5,-150,236.25,210,225,63.75,120,116.25,18.75
192,-667.5,-168.75,236.25,210,221.25,60,116.25,116.25,13.75
193,-675,-180,232.5,213.75,225,56.25,112.5,112.5,10.833333333333334
194,-671.25,-187.5,221.25,202.5,217.5,48.75,101.25,105,4.166666666666667
195,-667.5,-183.75,217.5,198.75,213.75,48.75,101.25,105,3.75
196,-671.25,-180,221.25,198.75,217.5,52.5,108.75,112.5,6.666666666666667
197,-678.75,-191.25,225,198.75,217.5,52.5,108.75,112.5,5.0
198,-682.5,-198.75,217.5,191.25,213.75,45,101.25,105,-0.8333333333333334
199,-682.5,-202.5,210,180,202.5,37.5,93.75,93.75,-7.5
200,-686.25,-195,221.25,183.75,206.25,45,97.5,97.5,-3.3333333333333335
201,-697.5,-191.25,232.5,202.5,221.25,56.25,108.75,108.75,4.583333333333333
202,-697.5,-195,225,202.5,221.25,48.75,101.25,101.25,0.8333333333333334
203,-682.5,-183.75,225,198.75,217.5,48.75,101.25,101.25,2.9166666666666665
204,-652.5,-165,228.75,206.25,221.25,52.5,108.75,108.75,12.083333333333334
205,-637.5,-157.5,228.75,210,225,52.5,108.75,108.75,15.416666666666666
206,-656.25,-168.75,217.5,198.75,217.5,45,101.25,97.5,5.833333333333333
207,-667.5,-176.25,221.25,202.5,221.25,48.75,101.25,101.25,5.833333333333333
208,-652.5,-172.5,217.5,191.25,206.25,41.25,97.5,97.5,2.9166666666666665
209,-645,-176.25,206.25,172.5,183.75,30,86.25,93.75,-5.416666666666667
210,-667.5,-195,202.5,180,206.25,37.5,93.75,93.75,-5.416666666666667
211,-705,-202.5,225,202.5,236.25,63.75,116.25,112.5,5.416666666666667
212,-705,-198.75,236.25,206.25,232.5,63.75,116.25,112.5,7.083333333333333
213,-675,-198.75,221.25,191.25,213.75,48.75,101.25,97.5,0.0
214,-671.25,-202.5,217.5,187.5,206.25,41.25,97.5,93.75,-3.3333333333333335
215,-697.5,-191.25,228.75,202.5,221.25,52.5,108.75,101.25,2.9166666666666665
216,-686.25,-157.5,228.75,210,228.75,56.25,112.5,108.75,11.25
217,-660,-161.25,221.25,206.25,221.25,48.75,105,101.25,9.166666666666666
218,-667.5,-195,210,191.25,210,37.5,93.75,90,-3.3333333333333335
219,-678.75,-202.5,210,191.25,210,41.25,97.5,90,-4.583333333333333
220,-671.25,-191.25,217.5,195,213.75,45,97.5,93.75,0.0
221,-671.25,-180,225,206.25,225,52.5,108.75,105,7.916666666666667
222,-660,-183.75,221.25,202.5,225,56.25,108.75,108.75,8.75
223,-645,-195,210,187.5,210,45,97.5,93.75,0.4166666666666667
224,-660,-198.75,213.75,187.5,210,45,97.5,93.75,-1.25
225,-690,-195,217.5,195,213.75,48.75,101.25,93.75,-1.6666666666666667
226,-705,-195,221.25,195,217.5,48.75,101.25,93.75,-2.5
227,-690,-176.25,225,195,217.5,48.75,101.25,93.75,1.6666666666666667
228,-667.5,-150,225,202.5,221.25,52.5,105,101.25,10.0
229,-686.25,-172.5,221.25,210,228.75,56.25,108.75,101.25,7.5
230,-690,-198.75,210,191.25,210,45,97.5,90,-5.0
231,-656.25,-202.5,191.25,161.25,172.5,15,75,71.25,-19.166666666666668
232,-667.5,-202.5,195,168.75,180,18.75,75,75,-17.5
233,-708.75,-217.5,198.75,183.75,206.25,33.75,86.25,82.5,-15.0
234,-675,-213.75,206.25,187.5,210,37.5,90,86.25,-7.916666666666667
235,-630,-176.25,210,183.75,206.25,41.25,97.5,90,2.5
236,-660,-172.5,217.5,195,217.5,52.5,108.75,101.25,6.666666666666667
237,-678.75,-195,213.75,195,217.5,48.75,101.25,93.75,-0.4166666666666667
238,-667.5,-198.75,213.75,187.5,210,45,97.5,86.25,-2.9166666666666665
